output	x1	x2	x3
71.56381477	66.22518938	66.0346888	0.237876644
68.09502652	64.86534794	62.60253365	0.146580486
70.01075949	64.45238894	65.62586086	0.131726849
76.48779384	69.23745702	66.25304298	0.317875278
70.19916619	66.70341588	63.49274296	0.368066602
68.26983234	63.4731378	61.6466494	-0.265087573
69.80978484	68.51785471	64.49531404	0.795495217
66.79185031	65.9857885	62.87263143	-0.426988168
73.66131922	64.29029063	70.54796826	0.207850774
75.97738337	65.90400991	70.64420363	-0.282136192
70.49691702	66.38780245	63.9827581	-0.139556491
69.87638333	68.3294085	68.25890677	0.110387414
77.93904726	66.12127735	60.43661698	0.056269327
65.12478225	60.0333732	61.25114483	-0.019908963
62.90586009	60.65762445	59.56227163	-0.626565629
63.75690053	60.855059	62.47551393	-0.717724646
72.31753248	64.4639463	60.56648431	-0.331824266
74.41132917	70.59190604	62.57853386	0.246055297
70.77113869	64.65860792	61.83973805	-0.482219772
70.4767252	63.99004812	61.67089556	-0.358459893
67.8032712	61.57265789	60.7701177	-0.809697922
68.02881128	69.3616066	65.3086556	0.810482198
65.43072131	63.17683188	64.24562767	0.453671866
66.68502249	66.44174034	66.83418309	0.069639897
70.90119085	65.3318872	64.82912824	0.348596681
68.2780283	64.45239031	62.79692385	-0.494243066
73.82220929	66.47347066	64.51840044	0.247409393
67.12031981	65.38314397	61.20041874	0.486681893
67.39119372	63.14702877	60.89675969	-0.343797636
74.39444203	63.79981738	64.62712551	-0.054432224
75.11029569	65.98728681	62.04898332	0.298452394
70.90591105	66.79975123	64.13395013	0.065394773
70.00641179	67.26173044	64.63889119	0.957305298
69.08156625	68.33201888	69.76205297	0.245341695
60.15331838	62.01273873	60.92882691	-0.572512018
74.12772521	64.85082144	63.19225982	0.023546428
68.43530618	63.0630559	62.92363201	-0.122843942
69.63140952	64.02810164	62.97945486	0.437815654
74.31501233	63.85095587	58.91041879	0.105087444
71.51952545	63.30802273	65.53437814	-0.402111225
72.77087931	65.10523245	64.55110288	0.292373405
74.04635599	66.63618191	63.08002901	0.804928287
72.91616485	70.15457924	66.09054951	0.903865946
67.47236966	64.3083712	60.77102305	-0.165933206
74.26345572	69.18661514	64.86769408	0.481443791
72.09117052	67.80179239	63.77643895	0.45191723
70.63082596	67.43971154	66.25568835	0.587973143
66.70952315	67.62366956	69.11435025	0.033769997
68.08277878	67.13892555	65.09057901	0.88385779
71.44491607	67.76476424	63.60953131	0.985730862
69.03954272	63.04663823	60.81090655	0.189391506
67.49823838	63.45164545	61.85006316	0.424300615
66.17262291	60.86353253	60.91197132	-0.541631746
75.89733707	63.19318136	68.43752958	0.202401371
71.08516993	65.6682635	62.37416749	-0.433294828
72.00324371	66.73254833	63.69903649	-0.48957296
70.68752395	68.81516959	67.68251944	0.938929782
67.8706661	65.77988576	62.92472383	-0.081084911
69.65339264	65.78711648	63.62615269	0.287489886
70.89955116	66.822032	67.61085576	-0.199338375
69.11057998	62.07587298	63.0145417	-0.450226776
68.61561858	66.89157066	65.35461048	0.420804824
71.23469896	67.38348779	64.55289981	0.887798503
70.38360047	63.23378378	61.85152952	0.355085541
69.93503273	66.84713354	60.2930786	0.348148905
71.95030055	67.12098164	62.24681188	0.905663296
69.46594762	61.70970475	63.07988177	-0.434495815
68.3323521	62.38943332	60.25462881	-0.456724787
63.19019323	63.74698193	62.54696651	0.229434687
65.99666239	61.15846124	62.70535182	-0.210665736
63.01141565	64.8058481	61.56504605	-0.156895503
69.69224058	61.0274834	65.99796872	-0.014273549
68.70784052	61.45676702	64.96211781	-0.23552696
72.52075929	63.39943557	61.10554513	-0.109916766
72.1097472	62.24413389	62.43578951	-0.451762041
74.44134922	64.49054345	64.02656601	0.282277509
68.41410719	64.54750447	62.01097037	-0.363851669
73.81775008	65.79077873	66.94746761	0.488829917
67.61791107	64.68674679	61.98375808	0.237797623
64.45480667	59.21534957	60.19716367	-0.292320867
68.25944192	65.8013958	67.31907662	0.470164618
68.27355074	63.10701929	65.80993824	-0.41133967
67.37868328	65.37669806	62.3331458	0.186647497
71.52723395	64.39716626	63.29018643	-0.372575788
76.65763832	70.49775771	62.799024	0.819570259
65.6712544	60.59471276	61.77813833	-0.242941415
73.51289741	69.89914963	68.16907636	0.863020595
68.10866999	62.83591387	63.27068706	-0.315385319
72.89163949	65.92245395	69.26310546	0.40478184
66.09783853	64.84163096	62.39434429	0.390818198
70.01471423	64.76868953	64.6948316	-0.052413513
70.39452365	66.28222731	61.59852078	-0.107325663
68.14956991	63.67384107	62.8242884	0.017832638
69.55489142	67.48604453	68.15061003	0.297478417
68.13817683	60.3892831	60.3803906	-0.808087098
72.7991419	68.09932562	67.53110196	0.061812671
76.48890261	67.29467585	70.36125795	0.664655365
71.38309003	66.50184304	60.76913506	0.203615424
72.19542707	67.44014623	68.76367956	0.837367622
70.73512732	65.23984018	64.82792945	0.2263212
64.91310516	61.42259991	64.0442582	-0.718650197
72.1688646	64.38052388	63.23553797	0.403509985
71.72542911	68.83823989	64.68536671	0.756679619
71.54610563	64.56744437	63.5028837	-0.006841464
70.33848474	65.81759775	62.90800223	-0.304518512
70.73428782	67.51956472	66.79017079	0.267204652
74.48766827	67.69437944	69.87398705	0.742682501
68.94968352	62.77312774	66.13126093	-0.775235606
65.56706389	62.1724583	61.23153057	-0.862480427
65.10361666	62.79677914	57.4427638	-0.496470348
63.53244014	64.60008307	62.00016072	-0.263937634
73.420506	66.8262077	66.24776651	-0.405555874
67.16397337	65.21959892	64.49739825	-0.455099036
70.08969002	67.48150044	65.23668552	0.858975144
70.5635847	65.07155164	66.63081841	-0.277910005
77.33333734	70.22493582	65.11621489	0.171653645
62.08197435	63.38387279	56.50441723	0.37861516
71.5313105	65.72302884	64.69064231	0.173198368
69.5914448	60.88917614	64.86464673	-0.037715962
75.37900641	69.80360385	64.22631064	0.808094617
67.76571956	64.16087779	63.05177506	-0.476327905
66.22360052	62.35107218	62.14027579	-0.128486214
65.42937146	63.8198228	62.63021647	0.346890147
70.28534486	64.81402006	69.90438339	0.337244356
68.04658529	62.57360918	62.37393049	-0.636720489
72.27722416	72.524274	65.5872545	0.262619754
69.88338432	63.60895642	60.72776714	0.22896057
66.94275482	67.083563	69.16150084	0.072035649
67.28498045	68.37476182	64.89381823	0.11049156
76.81389525	72.5518248	70.89164207	0.797481621
65.08964535	59.84741128	59.41731737	-0.84368015
70.21237984	65.09153168	70.30065353	0.146271374
70.12825446	68.80110641	60.7748757	0.008931968
67.01533562	61.97533962	59.77314594	-0.008822874
69.81126505	66.37764218	64.45753557	-0.431754949
72.02399385	62.77023367	67.29321671	-0.980493273
70.09321543	65.74773443	62.9999495	-0.207001107
70.13797111	65.24388645	63.50383291	-0.390530753
65.86010078	63.60180144	61.22097447	-0.184141283
71.67259806	70.52509933	68.32989369	0.408861399
67.18538624	64.36840148	64.55762106	-0.058435564
66.93299874	63.74954366	65.90332838	0.009430421
72.76098361	68.39369406	69.64535376	0.731008423
69.60433879	64.00932293	64.44514758	0.471681472
72.70943273	67.97034432	70.1898622	0.22681411
71.40334361	66.75034548	65.47542844	-0.230663901
72.26171979	66.4207066	63.00830608	-0.04605657
65.78065287	61.69625959	61.0936836	-0.245025715
72.42050696	63.92266999	65.66844504	0.418596077
67.89200173	61.54876887	60.9542285	-0.79849837
62.28421917	61.79000762	60.0197633	-0.430186799
70.0906287	66.64907463	65.11432966	0.09272128
63.70135833	63.23640827	61.69458291	0.307014486
67.14574449	66.36709392	62.55848869	-0.37025315
68.76241031	66.9595277	62.75137888	-0.457968597
69.28254066	68.21495945	63.42674291	0.369946166
68.92293803	62.87985882	62.30107204	-0.702496921
70.18541571	66.41475552	67.6888605	-0.192601648
69.96606216	63.04132978	62.3838072	-0.067013293
72.4581763	66.16675966	62.18440228	-0.428673673
69.20899241	66.11563851	65.36572113	0.268749507
70.56764219	69.14008758	66.34557286	0.699633039
73.43912412	68.02109722	65.19207847	0.55996185
74.17247391	64.64640691	65.83579658	-0.081840257
74.90489281	69.83432944	67.68266863	0.708895019
70.52095433	65.28760076	63.06459586	-0.260241474
69.65606766	67.67189838	64.82669004	0.532153746
67.32545772	66.46726699	67.69552245	-0.354639256
70.21160357	63.88124703	62.28010539	0.028463887
66.26333703	61.72707881	66.4022575	-0.106532939
72.49436625	67.23395174	64.71907693	0.867017096
71.80489867	67.54834354	63.27527131	0.596849221
71.14124796	64.08812005	65.33938934	-0.257751988
66.92341669	60.80929049	64.77789302	-0.802745793
68.71908464	67.93052203	65.49116109	0.622781377
70.40044237	61.62716947	59.8486769	-0.03689431
64.65332442	63.03738742	65.42378194	0.232629367
66.44606599	62.56542907	64.18437006	-0.699482014
71.70363983	67.69828477	66.32047322	0.159154533
65.98278717	60.87917973	62.47413166	-0.689068487
