18.99	10.09
22.18	13.39
4.96	13.44
6.31	15.63
4.02	15.78
6.94	13.96
19.26	10.51
19.17	10.73
20.06	11.29
9.21	16.88
22.20	14.02
5.36	14.90
9.79	14.07
4.40	7.14
4.45	1.98
8.54	16.32
22.65	14.06
19.49	9.70
7.12	14.81
5.25	17.89
4.48	5.88
8.70	16.12
18.05	9.24
21.85	14.41
9.48	15.23
9.45	18.01
17.52	13.68
18.08	8.95
18.93	10.28
5.80	10.54
8.30	13.71
4.08	7.32
16.41	16.35
9.38	16.22
24.49	16.89
17.91	15.82
17.37	9.00
23.33	15.64
17.13	14.87
4.28	13.48
22.33	12.84
5.24	19.50
20.30	12.66
15.56	14.91
6.33	17.92
5.74	-1.60
7.22	15.36
8.45	15.65
21.34	13.19
16.69	15.55
7.05	15.46
18.34	10.64
21.32	12.98
4.11	8.71
18.76	12.93
15.22	16.52
16.71	16.49
17.94	11.05
16.32	16.40
10.77	14.28
8.90	15.75
17.58	9.50
22.10	13.82
18.27	10.76
5.70	4.98
19.93	12.65
8.53	16.11
20.26	11.25
16.29	8.04
18.05	14.24
5.57	8.79
19.19	10.96
10.61	15.52
23.36	14.89
9.01	16.40
8.01	16.71
16.28	16.19
7.00	15.09
20.61	12.93
17.47	14.86
17.07	14.47
19.29	11.74
22.01	13.14
9.70	15.20
14.27	16.86
18.67	10.75
4.44	2.79
9.12	15.92
11.08	15.21
7.53	16.83
6.03	13.78
6.39	16.32
17.89	10.28
5.39	2.89
17.90	10.52
5.22	8.58
18.39	9.43
16.04	15.31
7.82	14.36
7.29	14.78
19.21	10.53
8.00	14.76
18.15	14.42
7.94	18.20
20.57	13.81
18.32	9.58
19.09	10.78
19.79	12.68
18.04	10.76
22.87	14.86
8.24	16.19
7.71	15.05
21.32	12.92
15.81	7.47
9.28	15.36
4.55	13.43
22.03	14.77
20.96	13.52
5.28	-3.83
11.05	15.13
20.96	14.23
5.94	11.32
5.88	7.14
20.45	13.16
5.60	7.47
16.38	8.77
18.93	11.36
24.89	17.91
25.78	18.77
9.68	15.10
7.70	14.77
16.47	15.80
9.42	15.42
16.74	8.91
22.10	13.61
17.13	9.39
7.82	17.62
7.65	15.29
16.64	13.93
23.04	15.17
4.91	15.13
6.41	17.35
7.50	14.99
5.22	8.11
20.83	12.53
18.07	14.17
19.32	10.74
15.06	18.03
4.86	6.04
20.78	12.42
4.76	4.80
18.46	14.17
16.53	15.80
7.48	16.88
21.71	12.79
20.40	13.08
18.29	11.96
9.67	15.23
8.02	17.93
6.05	14.31
9.72	14.31
22.79	16.29
16.70	15.23
19.93	12.05
21.76	13.25
5.47	15.13
17.70	13.98
6.70	15.90
7.54	14.32
18.05	15.22
17.90	9.97
7.84	14.71
4.27	12.70
5.38	7.45
18.92	11.44
9.15	15.89
21.02	13.61
15.43	16.61
8.71	12.15
19.26	10.41
19.75	11.99
16.66	14.98
16.86	14.64
8.95	15.76
4.58	12.14
5.11	17.41
22.60	12.87
15.57	6.64
9.07	18.49
22.88	15.01
8.75	15.26
21.71	13.79
5.72	9.86
4.73	10.78
16.21	16.32
7.72	16.94
19.75	12.36
5.10	8.15
4.98	14.98
22.47	14.96
16.92	14.61
19.60	13.34
21.35	12.98
20.82	13.33
9.88	15.61
9.59	14.66
5.40	4.06
4.78	13.39
5.38	7.47
17.26	9.58
22.75	12.86
4.37	15.42
23.23	15.21
19.83	11.26
5.39	8.34
17.24	14.01
6.25	19.49
21.44	14.70
15.75	16.45
4.50	7.46
18.89	11.87
